seed,method,round,full_test_accuracy_percent,full_test_correct,n_test,train_loss,training_factor_bytes,control_bytes,assembly_bytes
42,adaptive_quality,11,4.5,450,10000,1.7529438525140286,342720,6384,2867312
42,adaptive_quality,12,4.61,461,10000,1.7375586083102226,342720,6384,2867312
42,adaptive_quality,13,4.73,473,10000,1.7239304639840125,342720,6384,2867312
42,adaptive_quality,14,4.91,491,10000,1.7132687265324593,342720,6384,2867312
42,adaptive_quality,15,5.19,519,10000,1.7022435956811905,342720,6384,2867312
42,adaptive_quality,16,5.38,538,10000,1.698919470232725,342720,6384,2867312
42,adaptive_quality,17,5.48,548,10000,1.684455004515648,342720,6384,2867312
42,adaptive_quality,18,5.3,530,10000,1.6815384691941737,342720,6384,2867312
42,adaptive_quality,19,5.63,563,10000,1.6710050299406052,342720,6384,2867312
42,adaptive_quality,20,5.82,582,10000,1.6668456244081258,342720,6384,2867312
42,adaptive_quality,21,5.510000000000001,551,10000,1.668754623169303,342720,6384,2867312
42,adaptive_quality,22,5.64,564,10000,1.6653140726017952,342720,6384,2867312
42,adaptive_quality,23,5.8500000000000005,585,10000,1.6628756673076748,342720,6384,2867312
42,adaptive_quality,24,5.7,570,10000,1.6631124671132862,342720,6384,2867312
42,adaptive_quality,25,6.140000000000001,614,10000,1.6633619504106045,342720,6384,2867312
42,adaptive_quality,26,6.45,645,10000,1.6668442957806586,342720,6384,2867312
42,adaptive_quality,27,6.03,603,10000,1.6670598495590687,342720,6384,2867312
42,adaptive_quality,28,6.25,625,10000,1.6635033454835415,342720,6384,2867312
42,adaptive_quality,29,6.34,634,10000,1.6718493165421486,342720,6384,2867312
42,adaptive_quality,30,6.3100000000000005,631,10000,1.6748991410195828,342720,6384,2867312
42,fedavg16,1,1.52,152,10000,3.4393608837366103,1175040,0,0
42,fedavg16,2,1.39,139,10000,3.2765828743982315,1175040,0,0
42,fedavg16,3,1.32,132,10000,3.167963956289291,1175040,0,0
42,fedavg16,4,1.69,169,10000,3.0702999468660352,1175040,0,0
42,fedavg16,5,2.08,208,10000,2.968837668495178,1175040,0,0
42,fedavg16,6,3.01,301,10000,2.848413826379776,1175040,0,0
42,fedavg16,7,4.5600000000000005,456,10000,2.7320437591576576,1175040,0,0
42,fedavg16,8,5.970000000000001,597,10000,2.6202010594010354,1175040,0,0
42,fedavg16,9,7.48,748,10000,2.5154706441402435,1175040,0,0
42,fedavg16,10,8.08,808,10000,2.424693640933037,1175040,0,0
42,fedavg16,11,9.17,917,10000,2.3508359251856805,1175040,0,0
42,fedavg16,12,10.22,1022,10000,2.2631810819625855,1175040,0,0
42,fedavg16,13,11.16,1116,10000,2.2063675707125663,1175040,0,0
42,fedavg16,14,11.899999999999999,1190,10000,2.142389094058275,1175040,0,0
42,fedavg16,15,12.31,1231,10000,2.096496078915596,1175040,0,0
42,fedavg16,16,13.11,1311,10000,2.0509769511413576,1175040,0,0
42,fedavg16,17,13.700000000000001,1370,10000,2.0068288508450984,1175040,0,0
42,fedavg16,18,14.829999999999998,1483,10000,1.9695458179557324,1175040,0,0
42,fedavg16,19,15.86,1586,10000,1.9329695131182671,1175040,0,0
42,fedavg16,20,15.939999999999998,1594,10000,1.8977241620898246,1175040,0,0
42,fedavg16,21,16.38,1638,10000,1.8706570125973225,1175040,0,0
42,fedavg16,22,16.85,1685,10000,1.8398177473664283,1175040,0,0
42,fedavg16,23,17.73,1773,10000,1.80737663582623,1175040,0,0
42,fedavg16,24,18.39,1839,10000,1.7839332381618023,1175040,0,0
42,fedavg16,25,18.96,1896,10000,1.7572638330352306,1175040,0,0
42,fedavg16,26,19.68,1968,10000,1.7360074881386758,1175040,0,0
42,fedavg16,27,19.89,1989,10000,1.7232519357919693,1175040,0,0
42,fedavg16,28,20.31,2031,10000,1.7031716121518612,1175040,0,0
42,fedavg16,29,20.380000000000003,2038,10000,1.690772096940279,1175040,0,0
42,fedavg16,30,20.560000000000002,2056,10000,1.6778267221283913,1175040,0,0
42,fixed_domain,1,1.55,155,10000,3.4430262020874025,685440,109172784,2867312
42,fixed_domain,2,1.6199999999999999,162,10000,2.6680766723155975,685440,109172784,2867312
42,fixed_domain,3,2.1399999999999997,214,10000,2.229264952111244,685440,109172784,2867312
42,fixed_domain,4,3.02,302,10000,1.9396755892026425,685440,109172784,2867312
42,fixed_domain,5,3.49,349,10000,1.7528425780296326,685440,109172784,2867312
42,fixed_domain,6,3.8699999999999997,387,10000,1.6412646729969977,685440,109172784,2867312
42,fixed_domain,7,4.2299999999999995,423,10000,1.570127497768402,685440,109172784,2867312
42,fixed_domain,8,4.64,464,10000,1.5194265995645524,685440,109172784,2867312
42,fixed_domain,9,4.95,495,10000,1.4808635686016083,685440,109172784,2867312
42,fixed_domain,10,5.56,556,10000,1.4498251475167274,685440,109172784,2867312
42,fixed_domain,11,6.23,623,10000,1.4229094293802977,685440,109172784,2867312
42,fixed_domain,12,6.75,675,10000,1.397151316552162,685440,109172784,2867312
