seed,method,round,full_test_accuracy_percent,full_test_correct,n_test,train_loss,training_factor_bytes,control_bytes,assembly_bytes
43,adaptive_domain,29,9.13,913,10000,1.7620430913341045,362304,109172784,2867312
43,adaptive_domain,30,9.09,909,10000,1.7979133138877152,352512,109172784,2867312
43,adaptive_quality,1,0.9299999999999999,93,10000,3.509943337378502,685440,6384,2867312
43,adaptive_quality,2,1.6400000000000001,164,10000,2.7551573487854,685440,6384,2867312
43,adaptive_quality,3,3.0,300,10000,2.2636782385110856,685440,6384,2867312
43,adaptive_quality,4,4.18,418,10000,2.0226349415040015,489600,6384,2867312
43,adaptive_quality,5,4.3999999999999995,440,10000,1.888395194387436,489600,6384,2867312
43,adaptive_quality,6,4.15,415,10000,1.91538416680336,342720,6384,2867312
43,adaptive_quality,7,4.2700000000000005,427,10000,1.8928664182376862,362304,6384,2867312
43,adaptive_quality,8,4.65,465,10000,1.846355677061081,362304,6384,2867312
43,adaptive_quality,9,4.8,480,10000,1.821346506768465,362304,6384,2867312
43,adaptive_quality,10,5.08,508,10000,1.8299325526738166,352512,6384,2867312
43,adaptive_quality,11,5.33,533,10000,1.837409464223385,362304,6384,2867312
43,adaptive_quality,12,5.609999999999999,561,10000,1.8196254971389472,362304,6384,2867312
43,adaptive_quality,13,6.2,620,10000,1.8076548421764373,362304,6384,2867312
43,adaptive_quality,14,6.3,630,10000,1.8278337789011,352512,6384,2867312
43,adaptive_quality,15,6.49,649,10000,1.8286970566129686,372096,6384,2867312
43,adaptive_quality,16,6.9,690,10000,1.7787914858186245,372096,6384,2867312
43,adaptive_quality,17,7.04,704,10000,1.7791737757408619,362304,6384,2867312
43,adaptive_quality,18,7.449999999999999,745,10000,1.7956918655109406,352512,6384,2867312
43,adaptive_quality,19,7.68,768,10000,1.8008794858217239,362304,6384,2867312
43,adaptive_quality,20,7.64,764,10000,1.7702674863398076,362304,6384,2867312
43,adaptive_quality,21,7.6,760,10000,1.7480326341205836,362304,6384,2867312
43,adaptive_quality,22,7.88,788,10000,1.764670897010565,352512,6384,2867312
43,adaptive_quality,23,7.91,791,10000,1.7601904322981834,362304,6384,2867312
43,adaptive_quality,24,8.03,803,10000,1.7382264742773772,362304,6384,2867312
43,adaptive_quality,25,8.14,814,10000,1.7179235247826576,362304,6384,2867312
43,adaptive_quality,26,7.89,789,10000,1.7592603766453265,352512,6384,2867312
43,adaptive_quality,27,8.129999999999999,813,10000,1.7554874000406264,362304,6384,2867312
43,adaptive_quality,28,8.25,825,10000,1.7289666942453383,362304,6384,2867312
43,adaptive_quality,29,8.39,839,10000,1.7096583736914397,362304,6384,2867312
43,adaptive_quality,30,8.23,823,10000,1.7514041781151295,352512,6384,2867312
43,fedavg16,1,0.88,88,10000,3.488001266756058,1175040,0,0
43,fedavg16,2,0.96,96,10000,3.3260326529788973,1175040,0,0
43,fedavg16,3,1.4000000000000001,140,10000,3.2213996987819673,1175040,0,0
43,fedavg16,4,1.96,196,10000,3.115264089894295,1175040,0,0
43,fedavg16,5,3.0300000000000002,303,10000,2.9876126500558855,1175040,0,0
43,fedavg16,6,4.89,489,10000,2.8513407783794404,1175040,0,0
43,fedavg16,7,6.22,622,10000,2.7286510319280626,1175040,0,0
43,fedavg16,8,7.91,791,10000,2.6224004104590417,1175040,0,0
43,fedavg16,9,8.649999999999999,865,10000,2.521465129284859,1175040,0,0
43,fedavg16,10,9.75,975,10000,2.4360636519622805,1175040,0,0
43,fedavg16,11,11.469999999999999,1147,10000,2.3609606622838974,1175040,0,0
43,fedavg16,12,11.87,1187,10000,2.290632661714554,1175040,0,0
43,fedavg16,13,12.790000000000001,1279,10000,2.2246978777289392,1175040,0,0
43,fedavg16,14,13.41,1341,10000,2.171191397280693,1175040,0,0
43,fedavg16,15,13.83,1383,10000,2.1293199916791914,1175040,0,0
43,fedavg16,16,14.59,1459,10000,2.08994046592474,1175040,0,0
