seed,method,round,client_id,rank,capacity_ceiling,stable_rank,ema_demand,quality_ema,changed
42,adaptive_domain,2,13,8,8,1.0004734498229826,1.0571496070912327,0.26694407751234656,False
42,adaptive_domain,2,14,16,16,1.0330970031409434,1.0550744387034836,0.2803190232144161,False
42,adaptive_domain,3,0,4,4,1.1001027628385622,1.0765878577342969,0.29850943037240885,False
42,adaptive_domain,3,1,8,8,1.0748696028881104,1.0804850896059983,0.27530888407464643,False
42,adaptive_domain,3,2,16,16,1.1670201422620932,1.1187054184583123,0.3234184966066774,False
42,adaptive_domain,3,3,4,4,1.0333969678688129,1.0518000902732636,0.2776734573381455,False
42,adaptive_domain,3,4,8,8,1.0289777742007291,1.0418634190087956,0.3015989440005939,False
42,adaptive_domain,3,5,16,16,1.2751396061290783,1.1577488690082742,0.32632604720412556,False
42,adaptive_domain,3,6,4,4,1.0531510882772799,1.0463040942844644,0.2916579261737908,False
42,adaptive_domain,3,7,8,8,1.0811326421170389,1.0703878107089104,0.29826031981457335,False
42,adaptive_domain,3,8,16,16,1.14621806904987,1.086324233765906,0.32616021153788677,False
42,adaptive_domain,3,9,4,4,1.0008490625401518,1.0180350524671988,0.29477574960769154,False
42,adaptive_domain,3,10,8,8,1.0570341740156406,1.0535285669736765,0.2907732610201609,False
42,adaptive_domain,3,11,16,16,1.0096468692300231,1.0267076668153168,0.28448674333735324,False
42,adaptive_domain,3,12,4,4,1.0094494448320201,1.0411830001421103,0.28842568137265573,False
42,adaptive_domain,3,13,8,8,1.0024013056358352,1.0407251166546134,0.2715248054657781,False
42,adaptive_domain,3,14,16,16,1.47598499774737,1.1813476064166495,0.29607491146870935,False
42,adaptive_domain,4,0,2,4,1.126970793117303,1.0917027383491988,0.30619949492573423,True
42,adaptive_domain,4,1,6,8,1.1311107959105122,1.0956728014973525,0.2891042655252237,True
42,adaptive_domain,4,2,12,16,1.1505732927865613,1.128265780756787,0.3561344792847284,True
42,adaptive_domain,4,3,2,4,1.0913079137795165,1.0636524373251395,0.28172581380129874,True
42,adaptive_domain,4,4,6,8,1.0378261713027874,1.0406522446969932,0.3150439752994217,True
42,adaptive_domain,4,5,12,16,1.2695434319534677,1.1912872378918322,0.3717719085199749,True
42,adaptive_domain,4,6,2,4,1.1596639067758239,1.0803120380318723,0.3006141285493114,True
42,adaptive_domain,4,7,6,8,1.056138267361467,1.0661129477046773,0.31038608073818236,True
42,adaptive_domain,4,8,12,16,1.1995070101485104,1.1202790666806872,0.3617256528884041,True
42,adaptive_domain,4,9,2,4,1.0017823545658007,1.0131592430967795,0.29510148868804864,True
42,adaptive_domain,4,10,6,8,1.1532398148595182,1.083441941339429,0.30508427078425726,True
42,adaptive_domain,4,11,12,16,1.0244631092702097,1.0260342995517846,0.2913976660809199,True
42,adaptive_domain,4,12,2,4,1.033496218768433,1.0388769657300072,0.29273586637216764,True
42,adaptive_domain,4,13,6,8,1.0039609376099277,1.0296958629412076,0.27793904695594035,True
42,adaptive_domain,4,14,12,16,1.2935931233080114,1.215021261484058,0.3149982845861268,True
42,adaptive_domain,5,0,2,4,1.0086131269996101,1.0667758549443223,0.3144167162739442,False
42,adaptive_domain,5,1,6,8,1.2166079826273304,1.131953355836346,0.30389001025262063,False
42,adaptive_domain,5,2,12,16,1.115451361622068,1.1244214550163714,0.3885547977370302,False
42,adaptive_domain,5,3,2,4,1.021316872158991,1.0509517677752949,0.2890913978731249,False
42,adaptive_domain,5,4,6,8,1.0340454120785223,1.038670194911452,0.32801262034314466,False
42,adaptive_domain,5,5,12,16,1.268689704732104,1.2145079779439139,0.4178774499055674,False
42,adaptive_domain,5,6,2,4,1.0067893702455837,1.0582552376959857,0.3093123237254597,False
42,adaptive_domain,5,7,6,8,1.0313802186162666,1.0556931289781541,0.32305250770928085,False
42,adaptive_domain,5,8,12,16,1.1284172058448485,1.1227205084299356,0.4011058614505651,False
42,adaptive_domain,5,9,2,4,1.0198472473804001,1.0151656443818657,0.2943061106731313,False
42,adaptive_domain,5,10,6,8,1.21816998245827,1.1238603536750813,0.31829710821910895,False
42,adaptive_domain,5,11,12,16,1.0250055855460927,1.0257256853500771,0.29852885089885123,False
42,adaptive_domain,5,12,2,4,1.0043654212783149,1.0285235023944994,0.2977971867791266,False
42,adaptive_domain,5,13,6,8,1.0073408157385324,1.022989348780405,0.2828824244528637,False
42,adaptive_domain,5,14,12,16,1.147711999797447,1.1948284829780746,0.3349259312099164,False
