arm,seed,round,validation_accuracy,mean_peer_rank,training_bytes_cumulative,training_adapter_bytes,training_head_bytes,training_metadata_bytes,rank_peer0,rank_peer1,rank_peer2,rank_peer3,rank_peer4,rank_peer5,rank_peer6,rank_peer7,rank_peer8,rank_peer9
declora16,45,4,93.69266055045871,16.0,378595600,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora16,45,5,93.57798165137615,16.0,473244500,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora16,45,6,93.23394495412845,16.0,567893400,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora16,45,7,93.34862385321101,16.0,662542300,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora16,45,8,93.34862385321101,16.0,757191200,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora16,45,9,94.03669724770643,16.0,851840100,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora16,45,10,94.15137614678899,16.0,946489000,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora16,45,11,93.92201834862385,16.0,1041137900,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora16,45,12,93.92201834862385,16.0,1135786800,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora16,45,13,94.15137614678899,16.0,1230435700,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora16,45,14,94.03669724770643,16.0,1325084600,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora16,45,15,93.80733944954129,16.0,1419733500,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora16,45,16,93.92201834862385,16.0,1514382400,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora16,45,17,94.03669724770643,16.0,1609031300,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora16,45,18,93.69266055045871,16.0,1703680200,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora16,45,19,93.92201834862385,16.0,1798329100,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora16,45,20,93.92201834862385,16.0,1892978000,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora16,46,1,91.97247706422019,16.0,94648900,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora16,46,2,92.66055045871559,16.0,189297800,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora16,46,3,93.23394495412845,16.0,283946700,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora16,46,4,93.11926605504587,16.0,378595600,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora16,46,5,93.11926605504587,16.0,473244500,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora16,46,6,93.11926605504587,16.0,567893400,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora16,46,7,93.69266055045871,16.0,662542300,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora16,46,8,94.15137614678899,16.0,757191200,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora16,46,9,94.15137614678899,16.0,851840100,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora16,46,10,93.80733944954129,16.0,946489000,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora16,46,11,94.03669724770643,16.0,1041137900,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora16,46,12,94.15137614678899,16.0,1135786800,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora16,46,13,94.03669724770643,16.0,1230435700,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora16,46,14,93.80733944954129,16.0,1325084600,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora16,46,15,94.26605504587155,16.0,1419733500,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora16,46,16,94.26605504587155,16.0,1514382400,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora16,46,17,94.38073394495413,16.0,1609031300,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora16,46,18,94.15137614678899,16.0,1703680200,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora16,46,19,94.72477064220183,16.0,1798329100,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora16,46,20,94.72477064220183,16.0,1892978000,47185920,47370400,92580,16,16,16,16,16,16,16,16,16,16
declora4,42,1,91.62844036697248,4.0,59258020,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
declora4,42,2,93.0045871559633,4.0,118516040,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
declora4,42,3,93.69266055045871,4.0,177774060,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
declora4,42,4,93.46330275229357,4.0,237032080,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
declora4,42,5,94.15137614678899,4.0,296290100,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
declora4,42,6,94.03669724770643,4.0,355548120,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
declora4,42,7,94.03669724770643,4.0,414806140,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
declora4,42,8,93.80733944954129,4.0,474064160,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
declora4,42,9,93.69266055045871,4.0,533322180,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
declora4,42,10,93.92201834862385,4.0,592580200,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
declora4,42,11,94.03669724770643,4.0,651838220,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
declora4,42,12,94.15137614678899,4.0,711096240,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
declora4,42,13,93.92201834862385,4.0,770354260,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
declora4,42,14,93.57798165137615,4.0,829612280,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
declora4,42,15,94.15137614678899,4.0,888870300,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
declora4,42,16,94.03669724770643,4.0,948128320,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
declora4,42,17,93.92201834862385,4.0,1007386340,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
declora4,42,18,94.38073394495413,4.0,1066644360,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
declora4,42,19,94.83944954128441,4.0,1125902380,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
declora4,42,20,94.38073394495413,4.0,1185160400,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
declora4,43,1,91.62844036697248,4.0,59258020,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
declora4,43,2,92.66055045871559,4.0,118516040,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
declora4,43,3,92.88990825688073,4.0,177774060,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
declora4,43,4,93.11926605504587,4.0,237032080,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
declora4,43,5,93.11926605504587,4.0,296290100,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
declora4,43,6,93.34862385321101,4.0,355548120,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
declora4,43,7,93.23394495412845,4.0,414806140,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
declora4,43,8,93.23394495412845,4.0,474064160,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
declora4,43,9,93.23394495412845,4.0,533322180,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
declora4,43,10,93.34862385321101,4.0,592580200,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
declora4,43,11,92.88990825688073,4.0,651838220,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
declora4,43,12,93.57798165137615,4.0,711096240,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
declora4,43,13,93.69266055045871,4.0,770354260,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
declora4,43,14,93.11926605504587,4.0,829612280,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
declora4,43,15,93.69266055045871,4.0,888870300,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
declora4,43,16,93.80733944954129,4.0,948128320,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
declora4,43,17,93.80733944954129,4.0,1007386340,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
declora4,43,18,94.03669724770643,4.0,1066644360,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
declora4,43,19,93.92201834862385,4.0,1125902380,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
declora4,43,20,94.26605504587155,4.0,1185160400,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
declora4,44,1,91.39908256880734,4.0,59258020,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
declora4,44,2,92.77522935779817,4.0,118516040,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
declora4,44,3,93.57798165137615,4.0,177774060,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
declora4,44,4,93.23394495412845,4.0,237032080,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
declora4,44,5,93.46330275229357,4.0,296290100,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
declora4,44,6,93.34862385321101,4.0,355548120,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
declora4,44,7,93.69266055045871,4.0,414806140,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
declora4,44,8,93.57798165137615,4.0,474064160,11796480,47370400,91140,4,4,4,4,4,4,4,4,4,4
