effect,endpoint,seed,difference_pp,paired_mean,sample_sd,ci95_low,ci95_high
ours_minus_declora4,final_accuracy,42,-0.22935779816513957,-0.36697247706421476,0.46864258581886686,-0.9488691039006207,0.2149241497721912
ours_minus_declora4,final_accuracy,43,-0.5733944954128418,-0.36697247706421476,0.46864258581886686,-0.9488691039006207,0.2149241497721912
ours_minus_declora4,final_accuracy,44,0.34403669724771646,-0.36697247706421476,0.46864258581886686,-0.9488691039006207,0.2149241497721912
ours_minus_declora4,final_accuracy,45,-0.9174311926605441,-0.36697247706421476,0.46864258581886686,-0.9488691039006207,0.2149241497721912
ours_minus_declora4,final_accuracy,46,-0.45871559633026493,-0.36697247706421476,0.46864258581886686,-0.9488691039006207,0.2149241497721912
ours_minus_product16,best_accuracy,42,-0.22935779816513957,-0.4816513761467888,0.3182210304016461,-0.8767749730678192,-0.08652777922575855
ours_minus_product16,best_accuracy,43,-0.9174311926605583,-0.4816513761467888,0.3182210304016461,-0.8767749730678192,-0.08652777922575855
ours_minus_product16,best_accuracy,44,-0.11467889908256268,-0.4816513761467888,0.3182210304016461,-0.8767749730678192,-0.08652777922575855
ours_minus_product16,best_accuracy,45,-0.5733944954128418,-0.4816513761467888,0.3182210304016461,-0.8767749730678192,-0.08652777922575855
ours_minus_product16,best_accuracy,46,-0.5733944954128418,-0.4816513761467888,0.3182210304016461,-0.8767749730678192,-0.08652777922575855
ours_minus_product16,final_accuracy,42,-0.11467889908256268,-0.527522935779811,0.38549853931127626,-1.0061825934027622,-0.04886327815685987
ours_minus_product16,final_accuracy,43,-0.8027522935779814,-0.527522935779811,0.38549853931127626,-1.0061825934027622,-0.04886327815685987
ours_minus_product16,final_accuracy,44,-0.11467889908256268,-0.527522935779811,0.38549853931127626,-1.0061825934027622,-0.04886327815685987
ours_minus_product16,final_accuracy,45,-0.9174311926605441,-0.527522935779811,0.38549853931127626,-1.0061825934027622,-0.04886327815685987
ours_minus_product16,final_accuracy,46,-0.6880733944954045,-0.527522935779811,0.38549853931127626,-1.0061825934027622,-0.04886327815685987
adaptation_size,best_accuracy,42,-0.11467889908257689,-0.16055045871559628,0.19189450149864112,-0.3988189526797177,0.07771803524852508
adaptation_size,best_accuracy,43,-0.45871559633027914,-0.16055045871559628,0.19189450149864112,-0.3988189526797177,0.07771803524852508
