task,round,client_id,is_synthetic,partition_strategy,partition_alpha,partition_seed,hardware_batch_size,train_samples_seen,partition_samples,adaptive_rank,local_loss,quality_score,entropy,normalized_entropy,class_imbalance_ratio,kl_to_global,js_to_global,zero_class_count,update_cosine_distance_to_mean,update_l2_distance_to_mean,update_norm,full_accuracy,loo_accuracy,delta_accuracy
CIFAR-CNN,4,1,False,dirichlet,0.5,42,64,50547,16849,2,1.1296064615249635,0.4695703258168753,1.8345132753398292,0.7967189924583488,55.67142857142857,0.4680718176426005,0.12705310454536417,0,0.4922943970552486,21.412538023076323,24.739655419858746,33.04,28.57,4.469999999999999
CIFAR-CNN,4,2,False,dirichlet,0.5,42,256,32859,10953,8,0.9148211359977723,0.5222419897088306,1.5264242078421622,0.6629176105093935,1414.6666666666667,0.7761608851308641,0.20134880975917196,0,0.7865834428859689,15.232184250365888,8.430429506317457,33.04,32.75,0.28999999999999915
CIFAR-CNN,5,0,False,dirichlet,0.5,42,16,66594,22198,2,1.157189095020294,0.463566222501506,2.0780482920403203,0.9024849063615883,14.881028938906752,0.2245368009487891,0.058046869581487616,0,0.23896738151904862,26.363750313127706,35.018374596771196,32.87,32.57,0.29999999999999716
CIFAR-CNN,5,1,False,dirichlet,0.5,42,64,50547,16849,2,1.261578392982483,0.4421690634748408,1.8345132753398292,0.7967189924583488,55.67142857142857,0.4680718176426005,0.12705310454536417,0,0.5260541850162239,21.71933640035982,24.597371736218335,32.87,30.14,2.729999999999997
CIFAR-CNN,5,2,False,dirichlet,0.5,42,256,32859,10953,8,0.9558591246604917,0.5112842675586797,1.5264242078421622,0.6629176105093935,1414.6666666666667,0.7761608851308641,0.20134880975917196,0,0.8281022386736061,14.592271160847286,8.76271725051165,32.87,31.36,1.509999999999998
Fashion-MLP,1,0,False,dirichlet,0.5,42,16,80736,26912,2,0.6824610054492952,0.5943674158040612,2.1182970154637966,0.9199647048480543,24.021929824561404,0.18428807752581988,0.049402010772776075,0,0.15324055455243202,15.744465541920999,23.07328852424197,34.17,30.74,3.4300000000000033
Fashion-MLP,1,1,False,dirichlet,0.5,42,64,37779,12593,2,0.7092370152473451,0.5850563678878024,1.659078199563213,0.7205285071162855,627.0,0.6435068934129723,0.17016000632509504,0,0.5153918933412853,10.420126698660948,10.76614907660935,34.17,51.12,-16.949999999999996
Fashion-MLP,1,2,False,dirichlet,0.5,42,256,61485,20495,8,0.7070871114730832,0.5857931872832651,1.9560185297006325,0.8494880539494967,4197.0,0.3465665632803,0.09948584100587984,0,0.5847637053066183,10.814425721854805,10.299309484918249,34.17,40.51,-6.339999999999996
Fashion-MLP,2,0,False,dirichlet,0.5,42,16,80736,26912,2,0.7214984893798828,0.5808892695341368,2.1182970154637966,0.9199647048480543,24.021929824561404,0.18428807752581988,0.049402010772776075,0,0.15277626673789046,8.50653022131733,13.880025670148493,60.36,53.1,7.259999999999998
Fashion-MLP,2,1,False,dirichlet,0.5,42,64,37779,12593,2,0.5508726119995118,0.6447982846964576,1.659078199563213,0.7205285071162855,627.0,0.6435068934129723,0.17016000632509504,0,0.27221034309323777,7.151192264807544,10.427000988303309,60.36,57.37,2.990000000000002
Fashion-MLP,2,2,False,dirichlet,0.5,42,256,61485,20495,8,0.4609148442745208,0.6845025936447325,1.9560185297006325,0.8494880539494967,4197.0,0.3465665632803,0.09948584100587984,0,0.6161275662517987,8.834477548248683,8.35017148098252,60.36,50.5,9.86
Fashion-MLP,3,0,False,dirichlet,0.5,42,16,80736,26912,2,0.9347078382968903,0.5168739073700621,2.1182970154637966,0.9199647048480543,24.021929824561404,0.18428807752581988,0.049402010772776075,0,0.1949233660592663,7.8226673570952245,11.035027876135445,63.75,59.57,4.18
Fashion-MLP,3,1,False,dirichlet,0.5,42,64,37779,12593,2,0.535373830795288,0.6513071800123252,1.659078199563213,0.7205285071162855,627.0,0.6435068934129723,0.17016000632509504,0,0.42562583329809955,6.598972126458081,8.061278754201572,63.75,62.88,0.8699999999999974
Fashion-MLP,3,2,False,dirichlet,0.5,42,256,61485,20495,8,0.44673745632171635,0.6912104166726062,1.9560185297006325,0.8494880539494967,4197.0,0.3465665632803,0.09948584100587984,0,0.9581593364723143,8.10470341921737,6.867698224064108,63.75,49.1,14.649999999999999
Fashion-MLP,4,0,False,dirichlet,0.5,42,16,80736,26912,2,0.6335416853427887,0.6121668084583689,2.1182970154637966,0.9199647048480543,24.021929824561404,0.18428807752581988,0.049402010772776075,0,0.23637216509259806,7.636154136659614,10.16489309814161,64.6,57.17,7.429999999999993
Fashion-MLP,4,1,False,dirichlet,0.5,42,64,37779,12593,2,0.4265565514564513,0.7009886842404138,1.659078199563213,0.7205285071162855,627.0,0.6435068934129723,0.17016000632509504,0,0.473521233243517,6.596787141859656,7.754731783194828,64.6,59.98,4.619999999999997
Fashion-MLP,4,2,False,dirichlet,0.5,42,256,61485,20495,8,0.4706082999706269,0.679990722220168,1.9560185297006325,0.8494880539494967,4197.0,0.3465665632803,0.09948584100587984,0,1.0398257489543858,7.908453185081837,6.7512423673210495,64.6,53.65,10.949999999999996
Fashion-MLP,5,0,False,dirichlet,0.5,42,16,80736,26912,2,0.7686760485172273,0.5653946639003518,2.1182970154637966,0.9199647048480543,24.021929824561404,0.18428807752581988,0.049402010772776075,0,0.2878413727811968,7.3671151423627945,9.434698553468335,68.22,60.68,7.539999999999999
Fashion-MLP,5,1,False,dirichlet,0.5,42,64,37779,12593,2,0.5590479612350461,0.6414170858527151,1.659078199563213,0.7205285071162855,627.0,0.6435068934129723,0.17016000632509504,0,0.47951644892896716,6.625136750629702,7.7338665653081975,68.22,64.38,3.8400000000000034
Fashion-MLP,5,2,False,dirichlet,0.5,42,256,61485,20495,8,0.44580224752426156,0.6916575221212743,1.9560185297006325,0.8494880539494967,4197.0,0.3465665632803,0.09948584100587984,0,1.0403635614982816,7.555189977811252,6.55962689489135,68.22,52.54,15.68
AGNews-LSTM,1,0,False,dirichlet,0.5,42,16,197934,65978,2,1.2899756669998168,0.43668586282846295,1.2241801668943282,0.8830593279665354,4.710862619808307,0.1621141942241548,0.04277159169548349,0,1.6890203052210913,6.118899105320985,4.32762310204071,25.0,25.0,0.0
AGNews-LSTM,1,1,False,dirichlet,0.5,42,64,35730,11910,2,0.9977581262588502,0.50056109739004,0.9531605557535622,0.6875600034783163,32.211009174311926,0.433133805361942,0.1187267173297939,0,0.08642294606254253,4.390445867117222,6.367869268419588,25.0,25.0,0.0
AGNews-LSTM,1,2,False,dirichlet,0.5,42,256,126336,42112,8,1.138442873954773,0.46762998075820916,1.1655917042872506,0.8407966857382658,6.993548387096774,0.2207026568306324,0.05967046861179902,0,0.11136544746485111,2.6719744126336975,4.479492709953297,25.0,25.0,0.0
AGNews-LSTM,2,0,False,dirichlet,0.5,42,16,197934,65978,2,1.2489378929138182,0.4446543424569,1.2241801668943282,0.8830593279665354,4.710862619808307,0.1621141942241548,0.04277159169548349,0,1.381123301704744,6.159029838723824,5.071294054111384,25.263157894736842,25.0,0.2631578947368425
AGNews-LSTM,2,1,False,dirichlet,0.5,42,64,35730,11910,2,0.9460773944854737,0.5138541780679753,0.9531605557535622,0.6875600034783163,32.211009174311926,0.433133805361942,0.1187267173297939,0,0.14467103464477626,4.1164888691936286,5.738511244418677,25.263157894736842,25.0,0.2631578947368425
AGNews-LSTM,2,2,False,dirichlet,0.5,42,256,126336,42112,8,1.1854393005371096,0.4575739073394684,1.1655917042872506,0.8407966857382658,6.993548387096774,0.2207026568306324,0.05967046861179902,0,0.21614475577394499,2.787886863527729,4.092376134962947,25.263157894736842,25.0,0.2631578947368425
AGNews-LSTM,3,0,False,dirichlet,0.5,42,16,197934,65978,2,1.3013983726501466,0.43451842665920654,1.2241801668943282,0.8830593279665354,4.710862619808307,0.1621141942241548,0.04277159169548349,0,1.3447321708595699,5.9177756404237964,4.730492307571069,25.25,25.105263157894736,0.14473684210526372
AGNews-LSTM,3,1,False,dirichlet,0.5,42,64,35730,11910,2,0.9454655289649962,0.5140157895945904,0.9531605557535622,0.6875600034783163,32.211009174311926,0.433133805361942,0.1187267173297939,0,0.14316410126265133,4.073661830289559,5.854653533641266,25.25,25.11842105263158,0.13157894736842124
AGNews-LSTM,3,2,False,dirichlet,0.5,42,256,126336,42112,8,1.1685462474822996,0.46113842449106557,1.1655917042872506,0.8407966857382658,6.993548387096774,0.2207026568306324,0.05967046861179902,0,0.19635243908069433,2.8174481070212973,4.302006221731425,25.25,25.223684210526315,0.02631578947368496
AGNews-LSTM,4,0,False,dirichlet,0.5,42,16,197934,65978,2,1.2444652795791624,0.4455404185122882,1.2241801668943282,0.8830593279665354,4.710862619808307,0.1621141942241548,0.04277159169548349,0,1.315718706979385,6.048668968965031,5.0000745184868185,25.44736842105263,25.144736842105264,0.30263157894736636
AGNews-LSTM,4,1,False,dirichlet,0.5,42,64,35730,11910,2,0.9928412675857543,0.5017961120463242,0.9531605557535622,0.6875600034783163,32.211009174311926,0.433133805361942,0.1187267173297939,0,0.16017004636641163,4.456759324329555,6.123047106994467,25.44736842105263,25.144736842105264,0.30263157894736636
AGNews-LSTM,4,2,False,dirichlet,0.5,42,256,126336,42112,8,1.168425512313843,0.461164100090733,1.1655917042872506,0.8407966857382658,6.993548387096774,0.2207026568306324,0.05967046861179902,0,0.3020884336563626,3.1333635015346166,4.2362373487593565,25.44736842105263,25.657894736842106,-0.21052631578947612
AGNews-LSTM,5,0,False,dirichlet,0.5,42,16,197934,65978,2,1.2182670116424559,0.4508023582154688,1.2241801668943282,0.8830593279665354,4.710862619808307,0.1621141942241548,0.04277159169548349,0,1.3380987293449913,6.0489377117414485,4.843609329451995,25.460526315789473,25.17105263157895,0.2894736842105239
AGNews-LSTM,5,1,False,dirichlet,0.5,42,64,35730,11910,2,0.9103837847709657,0.5234550292834951,0.9531605557535622,0.6875600034783163,32.211009174311926,0.433133805361942,0.1187267173297939,0,0.1150085599629167,4.486466594737796,6.422023427941354,25.460526315789473,25.13157894736842,0.3289473684210513
AGNews-LSTM,5,2,False,dirichlet,0.5,42,256,126336,42112,8,1.1332586050033568,0.4687664203742548,1.1655917042872506,0.8407966857382658,6.993548387096774,0.2207026568306324,0.05967046861179902,0,0.3067413075802944,3.1516435703073373,4.284404449666848,25.460526315789473,25.460526315789473,0.0
Tabular-MLP,1,0,False,dirichlet,0.5,42,16,306,102,2,0.6931079149246213,0.5906298063963163,0.5568854299074213,0.8034158480707552,3.08,0.10220986022607736,0.026528802706868526,0,0.09714278965663992,0.06990926636557399,0.14597862299422032,66.66666666666667,76.66666666666667,-10.0
Tabular-MLP,1,1,False,dirichlet,0.5,42,64,33,11,2,0.6931373476982114,0.5906195391410397,-0.0,-0.0,1.5,0.7675797753137856,0.23590539792666781,1,0.07976777347435426,0.04293572287679806,0.10970536580171075,66.66666666666667,65.0,1.6666666666666714
Tabular-MLP,1,2,False,dirichlet,0.5,42,256,372,124,8,0.6931402683258054,0.5906185203360678,0.6742979594073284,0.9728063221185003,1.48,0.03533555760210966,0.008855897717476979,0,0.18452221428007465,0.05858324557627636,0.08616016214130116,66.66666666666667,55.0,11.666666666666671
Tabular-MLP,2,0,False,dirichlet,0.5,42,16,306,102,2,0.6929869651794434,0.5906720019513014,0.5568854299074213,0.8034158480707552,3.08,0.10220986022607736,0.026528802706868526,0,0.04333026412229124,0.12690130920591194,0.18624272530641994,56.666666666666664,88.33333333333333,-31.666666666666664
Tabular-MLP,2,1,False,dirichlet,0.5,42,64,33,11,2,0.6931448578834534,0.5906169193639275,-0.0,-0.0,1.5,0.7675797753137856,0.23590539792666781,1,0.824357266817714,0.07030770199662953,0.04343002294458332,56.666666666666664,56.666666666666664,0.0
Tabular-MLP,2,2,False,dirichlet,0.5,42,256,372,124,8,0.6931354403495791,0.5906202044849593,0.6742979594073284,0.9728063221185003,1.48,0.03533555760210966,0.008855897717476979,0,0.8493499476932247,0.06597754394985102,0.030038842841933387,56.666666666666664,55.0,1.6666666666666643
Tabular-MLP,3,0,False,dirichlet,0.5,42,16,306,102,2,0.6926913022994996,0.5907751748009296,0.5568854299074213,0.8034158480707552,3.08,0.10220986022607736,0.026528802706868526,0,0.024999420345846568,0.16319227749388587,0.23866335739837494,55.0,71.66666666666667,-16.66666666666667
Tabular-MLP,3,1,False,dirichlet,0.5,42,64,33,11,2,0.6931731700897217,0.5906070434290013,-0.0,-0.0,1.5,0.7675797753137856,0.23590539792666781,1,1.2537129521428663,0.09421293412333716,0.03607216897632826,55.0,55.0,0.0
Tabular-MLP,3,2,False,dirichlet,0.5,42,256,372,124,8,0.6931249499320982,0.5906238639033135,0.6742979594073284,0.9728063221185003,1.48,0.03533555760210966,0.008855897717476979,0,0.6580605130498832,0.07396575717038108,0.033748676106193386,55.0,55.0,0.0
Tabular-MLP,4,0,False,dirichlet,0.5,42,16,306,102,2,0.6917115569114687,0.5911173189746864,0.5568854299074213,0.8034158480707552,3.08,0.10220986022607736,0.026528802706868526,0,0.0172310562694441,0.2165728607831702,0.3195018923215802,55.0,61.666666666666664,-6.666666666666664
Tabular-MLP,4,1,False,dirichlet,0.5,42,64,33,11,2,0.6932311654090879,0.5905868143871531,-0.0,-0.0,1.5,0.7675797753137856,0.23590539792666781,1,1.4590240474412892,0.1291969636894284,0.040309997601923046,55.0,55.0,0.0
Tabular-MLP,4,2,False,dirichlet,0.5,42,256,372,124,8,0.6930801272392273,0.5906395001107368,0.6742979594073284,0.9728063221185003,1.48,0.03533555760210966,0.008855897717476979,0,0.4763610100867539,0.09114328364993937,0.04086768735150287,55.0,55.0,0.0
Tabular-MLP,5,0,False,dirichlet,0.5,42,16,306,102,2,0.6891625881195069,0.5920093228641,0.5568854299074213,0.8034158480707552,3.08,0.10220986022607736,0.026528802706868526,0,0.015258810489888752,0.25587581021186206,0.38103420498049456,61.666666666666664,63.333333333333336,-1.6666666666666714
Tabular-MLP,5,1,False,dirichlet,0.5,42,64,33,11,2,0.6933860182762146,0.5905328077634371,-0.0,-0.0,1.5,0.7675797753137856,0.23590539792666781,1,1.5498194129691392,0.15913059838478522,0.04737321635337867,61.666666666666664,61.666666666666664,0.0
Tabular-MLP,5,2,False,dirichlet,0.5,42,256,372,124,8,0.6929100155830383,0.5906988503790025,0.6742979594073284,0.9728063221185003,1.48,0.03533555760210966,0.008855897717476979,0,0.3221772884455283,0.10048659521936217,0.05175882827825177,61.666666666666664,61.666666666666664,0.0
Audio-1DCNN,1,0,False,dirichlet,0.5,42,16,64758,21586,2,3.131106758117676,0.24206588174827184,3.096910037690136,0.8710567809759735,900.6857142857143,0.42219306224162667,0.11344150532160521,2,0.26790774117929184,6.008882796416962,8.685798601902752,3.8473098887886987,3.676986273920449,0.17032361486824987
Audio-1DCNN,1,1,False,dirichlet,0.5,42,64,92217,30739,2,3.162424230575562,0.24024461338043968,3.1384684549942694,0.8827457679852295,1387.5,0.3741589604094003,0.10207021240024036,0,0.3164359292962228,6.091430012164133,8.329199414552017,3.8473098887886987,3.5267007313896404,0.3206091573990584
Audio-1DCNN,1,2,False,dirichlet,0.5,42,256,97554,32518,8,3.132803201675415,0.2419665179301559,3.130689543228474,0.8805578213675539,257.1666666666667,0.34219544065655116,0.093996279682031,0,0.44383882072963643,5.972511094977178,6.977335193700231,3.8473098887886987,3.5667768760645227,0.2805330127241761
Audio-1DCNN,2,0,False,dirichlet,0.5,42,16,64758,21586,2,3.166834211349487,0.2399903498143105,3.096910037690136,0.8710567809759735,900.6857142857143,0.42219306224162667,0.11344150532160521,2,0.2051582378286786,9.508440900785198,13.66438229473485,3.8473098887886987,3.676986273920449,0.17032361486824987
Audio-1DCNN,2,1,False,dirichlet,0.5,42,64,92217,30739,2,3.1947229385375975,0.2383947675811526,3.1384684549942694,0.8827457679852295,1387.5,0.3741589604094003,0.10207021240024036,0,0.42071656439544836,8.663497713181378,10.628231897216136,3.8473098887886987,3.787195671776375,0.06011421701232367
Audio-1DCNN,2,2,False,dirichlet,0.5,42,256,97554,32518,8,3.148176765441894,0.24106976547646533,3.130689543228474,0.8805578213675539,257.1666666666667,0.34219544065655116,0.093996279682031,0,0.7684749291117289,8.162339744169453,6.92881000957162,3.8473098887886987,3.4665865143773167,0.38072337441138204
Audio-1DCNN,3,0,False,dirichlet,0.5,42,16,64758,21586,2,2.9904860496520995,0.2505960395694611,3.096910037690136,0.8710567809759735,900.6857142857143,0.42219306224162667,0.11344150532160521,2,0.12035540438123682,11.895489522518067,17.596597430953807,3.837290852619978,3.656948201583008,0.18034265103697011
Audio-1DCNN,3,1,False,dirichlet,0.5,42,64,92217,30739,2,3.1509217739105226,0.2409103458140852,3.1384684549942694,0.8827457679852295,1387.5,0.3741589604094003,0.10207021240024036,0,0.5258255950281993,9.050634265486496,9.938359639586936,3.837290852619978,3.977557358982066,-0.14026650636208782
Audio-1DCNN,3,2,False,dirichlet,0.5,42,256,97554,32518,8,3.130045461654663,0.24212808534058114,3.130689543228474,0.8805578213675539,257.1666666666667,0.34219544065655116,0.093996279682031,0,0.867908154247333,9.04900690431433,6.706047207332129,3.837290852619978,3.5667768760645227,0.2705139765554554
Audio-1DCNN,4,0,False,dirichlet,0.5,42,16,64758,21586,2,3.2079262256622316,0.23764675195621396,3.096910037690136,0.8710567809759735,900.6857142857143,0.42219306224162667,0.11344150532160521,2,0.14955642822312643,12.373370687079193,18.285846504762464,3.857328924957419,3.676986273920449,0.18034265103697011
Audio-1DCNN,4,1,False,dirichlet,0.5,42,64,92217,30739,2,3.175875186920166,0.23947075888001582,3.1384684549942694,0.8827457679852295,1387.5,0.3741589604094003,0.10207021240024036,0,0.447064537938192,10.804017434380132,12.945797143518092,3.857328924957419,3.787195671776375,0.07013325318104391
Audio-1DCNN,4,2,False,dirichlet,0.5,42,256,97554,32518,8,3.1279522418975834,0.24225086469031162,3.130689543228474,0.8805578213675539,257.1666666666667,0.34219544065655116,0.093996279682031,0,0.9117436806584311,9.840924145613863,6.765115629295846,3.857328924957419,3.7471195271014928,0.1102093978559262
Audio-1DCNN,5,0,False,dirichlet,0.5,42,16,64758,21586,2,3.0212711811065676,0.2486775835209456,3.096910037690136,0.8710567809759735,900.6857142857143,0.42219306224162667,0.11344150532160521,2,0.19463611456564667,15.058795082602767,21.83879136142349,3.8473098887886987,3.676986273920449,0.17032361486824987
Audio-1DCNN,5,1,False,dirichlet,0.5,42,64,92217,30739,2,3.187799549102783,0.2387888885976516,3.1384684549942694,0.8827457679852295,1387.5,0.3741589604094003,0.10207021240024036,0,0.38408064669680253,14.062600912567968,17.798787397365714,3.8473098887886987,3.787195671776375,0.06011421701232367
Audio-1DCNN,5,2,False,dirichlet,0.5,42,256,97554,32518,8,3.1594797611236576,0.24041468102488284,3.130689543228474,0.8805578213675539,257.1666666666667,0.34219544065655116,0.093996279682031,0,0.8516094680310337,11.575866576967382,7.652025891470467,3.8473098887886987,3.69702434625789,0.15028554253080895
