task,round,client_id,is_synthetic,partition_strategy,partition_alpha,partition_seed,hardware_batch_size,train_samples_seen,partition_samples,adaptive_rank,local_loss,quality_score,entropy,normalized_entropy,class_imbalance_ratio,kl_to_global,js_to_global,zero_class_count,update_cosine_distance_to_mean,update_l2_distance_to_mean,update_norm,full_accuracy,loo_accuracy,delta_accuracy
CIFAR-CNN,4,1,False,dirichlet,0.5,42,64,50547,16849,2,1.1293618321418761,0.4696242718853108,1.8345132753398294,0.7967189924583488,55.67142857142857,0.4680718176426005,0.1270531045453642,0,0.4976798792798861,21.515731710742013,24.747716931038802,33.2,28.54,4.660000000000004
CIFAR-CNN,4,2,False,dirichlet,0.5,42,256,32859,10953,8,0.912212610244751,0.5229544009083835,1.5264242078421622,0.6629176105093934,1414.6666666666667,0.7761608851308641,0.201348809759172,0,0.7981404687448137,15.366294931511797,8.408474701960607,33.2,32.74,0.46000000000000085
CIFAR-CNN,5,0,False,dirichlet,0.5,42,16,66594,22198,2,1.1561024188995361,0.4637998599854987,2.0780482920403203,0.9024849063615882,14.881028938906752,0.22453680094878906,0.05804686958148761,0,0.2359116269585112,26.617237620256905,35.388270730128326,32.92,32.8,0.12000000000000455
CIFAR-CNN,5,1,False,dirichlet,0.5,42,64,50547,16849,2,1.262668561935425,0.4419560234419076,1.8345132753398294,0.7967189924583488,55.67142857142857,0.4680718176426005,0.1270531045453642,0,0.5297656621980991,21.809546744869586,24.63049798124275,32.92,30.25,2.6700000000000017
CIFAR-CNN,5,2,False,dirichlet,0.5,42,256,32859,10953,8,0.9536351919174193,0.5118662911771863,1.5264242078421622,0.6629176105093934,1414.6666666666667,0.7761608851308641,0.201348809759172,0,0.834818582844903,14.693953734594421,8.720855145340531,32.92,31.3,1.620000000000001
Fashion-MLP,1,0,False,dirichlet,0.5,42,16,80736,26912,2,0.5195874094963073,0.6580733650139065,2.1182970154637966,0.919964704848054,24.021929824561404,0.18428807752581988,0.04940201077277608,0,0.15480876504457408,15.038751502512497,22.291548571982684,50.21,33.31,16.9
Fashion-MLP,1,1,False,dirichlet,0.5,42,64,37779,12593,2,0.657456982135773,0.6033339089811042,1.6590781995632133,0.7205285071162855,627.0,0.6435068934129723,0.17016000632509504,0,0.5662314798219148,10.131098324878348,9.371169898215838,50.21,51.43,-1.2199999999999989
Fashion-MLP,1,2,False,dirichlet,0.5,42,256,61485,20495,8,0.7320934772491454,0.5773360463132553,1.9560185297006325,0.8494880539494966,4197.0,0.3465665632803,0.09948584100587984,0,0.4820996143846378,10.66879724378298,11.749170454132756,50.21,59.49,-9.280000000000001
Fashion-MLP,2,0,False,dirichlet,0.5,42,16,80736,26912,2,0.5960806012153625,0.6265347747717334,2.1182970154637966,0.919964704848054,24.021929824561404,0.18428807752581988,0.04940201077277608,0,0.1244634428632625,9.893971798155317,16.36577568599211,65.48,54.16,11.320000000000007
Fashion-MLP,2,1,False,dirichlet,0.5,42,64,37779,12593,2,0.4989301323890687,0.6671425027703931,1.6590781995632133,0.7205285071162855,627.0,0.6435068934129723,0.17016000632509504,0,0.31840842170320616,7.7295590994838435,10.417169745666449,65.48,58.78,6.700000000000003
Fashion-MLP,2,2,False,dirichlet,0.5,42,256,61485,20495,8,0.4852980136871339,0.673265560705612,1.9560185297006325,0.8494880539494966,4197.0,0.3465665632803,0.09948584100587984,0,0.5435994845440939,8.617230089784828,8.142457393995448,65.48,57.89,7.590000000000003
Fashion-MLP,3,0,False,dirichlet,0.5,42,16,80736,26912,2,0.8242633521556852,0.5481664688480014,2.1182970154637966,0.919964704848054,24.021929824561404,0.18428807752581988,0.04940201077277608,0,0.1765060327512591,8.84589648389627,12.88075022730159,67.82,59.12,8.699999999999996
Fashion-MLP,3,1,False,dirichlet,0.5,42,64,37779,12593,2,0.5253944933414458,0.6555681198307296,1.6590781995632133,0.7205285071162855,627.0,0.6435068934129723,0.17016000632509504,0,0.43914142462409833,7.423354207572026,8.935988282827553,67.82,63.2,4.61999999999999
Fashion-MLP,3,2,False,dirichlet,0.5,42,256,61485,20495,8,0.44158459305763254,0.6936811095344589,1.9560185297006325,0.8494880539494966,4197.0,0.3465665632803,0.09948584100587984,0,0.8148237032628003,7.936759343066629,6.738983157854812,67.82,59.35,8.469999999999992
Fashion-MLP,4,0,False,dirichlet,0.5,42,16,80736,26912,2,0.47071514725685115,0.67994132097244,2.1182970154637966,0.919964704848054,24.021929824561404,0.18428807752581988,0.04940201077277608,0,0.2144630056669864,8.664934225617824,11.981950478808368,69.02,58.29,10.729999999999997
Fashion-MLP,4,1,False,dirichlet,0.5,42,64,37779,12593,2,0.4024387955665589,0.713043594601944,1.6590781995632133,0.7205285071162855,627.0,0.6435068934129723,0.17016000632509504,0,0.45499499737259375,7.503446977624522,8.949164486701799,69.02,62.62,6.399999999999999
Fashion-MLP,4,2,False,dirichlet,0.5,42,256,61485,20495,8,0.4584654211997985,0.6856521830852566,1.9560185297006325,0.8494880539494966,4197.0,0.3465665632803,0.09948584100587984,0,0.9262412217027558,8.035678112834079,6.720774781748201,69.02,62.17,6.849999999999994
Fashion-MLP,5,0,False,dirichlet,0.5,42,16,80736,26912,2,0.6719563156366346,0.5981017510132899,2.1182970154637966,0.919964704848054,24.021929824561404,0.18428807752581988,0.04940201077277608,0,0.21876054635536812,9.089384117568272,12.410410026617702,70.46,58.56,11.899999999999991
Fashion-MLP,5,1,False,dirichlet,0.5,42,64,37779,12593,2,0.5554900944232941,0.6428841968104947,1.6590781995632133,0.7205285071162855,627.0,0.6435068934129723,0.17016000632509504,0,0.4817925926445713,7.745101983569492,9.051139767658993,70.46,65.53,4.929999999999993
Fashion-MLP,5,2,False,dirichlet,0.5,42,256,61485,20495,8,0.43448640108108516,0.6971136144939128,1.9560185297006325,0.8494880539494966,4197.0,0.3465665632803,0.09948584100587984,0,0.9345400534361725,8.057937936814056,6.6966469151222245,70.46,62.88,7.579999999999991
AGNews-LSTM,1,0,False,dirichlet,0.5,42,16,197934,65978,2,1.2918766498565675,0.4363236564509626,1.2241801668943282,0.8830593279665354,4.710862619808307,0.1621141942241548,0.0427715916954835,0,1.6156070213033444,6.334309878599585,4.482081943738252,25.0,25.0,0.0
AGNews-LSTM,1,1,False,dirichlet,0.5,42,64,35730,11910,2,0.9983718037605285,0.500407380707736,0.9531605557535622,0.6875600034783163,32.211009174311926,0.433133805361942,0.11872671732979391,0,0.08727803897067166,4.670057413630547,6.837880921539617,25.0,25.0,0.0
AGNews-LSTM,1,2,False,dirichlet,0.5,42,256,126336,42112,8,1.1388467311859132,0.46754168282340464,1.1655917042872508,0.8407966857382659,6.993548387096774,0.2207026568306324,0.059670468611799025,0,0.13809344331458573,2.806564206899882,4.658060855575109,25.0,25.0,0.0
AGNews-LSTM,2,0,False,dirichlet,0.5,42,16,197934,65978,2,1.2484729766845701,0.4447462835308455,1.2241801668943282,0.8830593279665354,4.710862619808307,0.1621141942241548,0.0427715916954835,0,1.3906964636239754,6.283174370385056,5.065996677201906,25.263157894736842,25.05263157894737,0.21052631578947256
AGNews-LSTM,2,1,False,dirichlet,0.5,42,64,35730,11910,2,0.9454728484153747,0.5140138557135451,0.9531605557535622,0.6875600034783163,32.211009174311926,0.433133805361942,0.11872671732979391,0,0.12261118375157021,4.1935450398714575,6.012547472270488,25.263157894736842,25.0,0.2631578947368425
AGNews-LSTM,2,2,False,dirichlet,0.5,42,256,126336,42112,8,1.185511517524719,0.4575587874881513,1.1655917042872508,0.8407966857382659,6.993548387096774,0.2207026568306324,0.059670468611799025,0,0.2074335707431707,2.8635761710388996,4.288277290542305,25.263157894736842,25.0,0.2631578947368425
AGNews-LSTM,3,0,False,dirichlet,0.5,42,16,197934,65978,2,1.2997434377670287,0.4348311135832462,1.2241801668943282,0.8830593279665354,4.710862619808307,0.1621141942241548,0.0427715916954835,0,1.4643324035418215,6.075831110486249,4.591169443548861,25.223684210526315,25.17105263157895,0.052631578947366364
AGNews-LSTM,3,1,False,dirichlet,0.5,42,64,35730,11910,2,0.9447263240814212,0.5142111708043771,0.9531605557535622,0.6875600034783163,32.211009174311926,0.433133805361942,0.11872671732979391,0,0.0955862181753212,4.093459037458044,6.120217138010429,25.223684210526315,25.06578947368421,0.1578947368421062
AGNews-LSTM,3,2,False,dirichlet,0.5,42,256,126336,42112,8,1.1685642004013062,0.4611346068587427,1.1655917042872508,0.8407966857382659,6.993548387096774,0.2207026568306324,0.059670468611799025,0,0.15771349770862464,2.7566596034389863,4.446139125729999,25.223684210526315,25.17105263157895,0.052631578947366364
AGNews-LSTM,4,0,False,dirichlet,0.5,42,16,197934,65978,2,1.2477152824401854,0.4448962054101313,1.2241801668943282,0.8830593279665354,4.710862619808307,0.1621141942241548,0.0427715916954835,0,1.5108642463425068,6.173020046673497,4.810270257420907,25.394736842105264,25.276315789473685,0.11842105263157876
AGNews-LSTM,4,1,False,dirichlet,0.5,42,64,35730,11910,2,0.9969614744186401,0.5007607872310718,0.9531605557535622,0.6875600034783163,32.211009174311926,0.433133805361942,0.11872671732979391,0,0.10709115276312686,4.190157256667526,5.977577255649053,25.394736842105264,25.026315789473685,0.36842105263157876
AGNews-LSTM,4,2,False,dirichlet,0.5,42,256,126336,42112,8,1.1678266525268555,0.4612914961786188,1.1655917042872508,0.8407966857382659,6.993548387096774,0.2207026568306324,0.059670468611799025,0,0.18866871612773017,2.869211467409262,4.310885848464332,25.394736842105264,25.5,-0.10526315789473628
AGNews-LSTM,5,0,False,dirichlet,0.5,42,16,197934,65978,2,1.2183232307434082,0.45079093350380606,1.2241801668943282,0.8830593279665354,4.710862619808307,0.1621141942241548,0.0427715916954835,0,1.4497693163218777,6.230993735161319,4.821870410818289,25.460526315789473,25.276315789473685,0.1842105263157876
AGNews-LSTM,5,1,False,dirichlet,0.5,42,64,35730,11910,2,0.912087893486023,0.5229885108350589,0.9531605557535622,0.6875600034783163,32.211009174311926,0.433133805361942,0.11872671732979391,0,0.10141976305308165,4.233102722367413,6.204943746348488,25.460526315789473,25.105263157894736,0.3552631578947363
