task,round,client_id,is_synthetic,quality_score,delta_accuracy,js_to_global,update_l2_distance_to_mean,update_cosine_distance_to_mean,normalized_entropy,class_imbalance_ratio,form,gamma,target_lambda_cv,achieved_lambda_cv,raw_lambda_score,predicted_delta_accuracy,lambda_weight,effective_quality_score
AGNews-LSTM,5,1,False,0.5234550292834951,0.3289473684210513,0.1187267173297939,4.486466594737796,0.1150085599629167,0.6875600034783163,32.211009174311926,form_a,2.4445781941403766,0.14695437143507947,0.14695437143488213,-0.029867851044564818,0.37595992478869994,1.1129212801703863,0.5825642413018144
AGNews-LSTM,5,2,False,0.4687664203742548,0.0,0.059670468611799,3.1516435703073373,0.3067413075802944,0.8407966857382658,6.993548387096774,form_a,2.4445781941403766,0.14695437143507947,0.14695437143488213,-0.16198352606518648,-0.4388918145426689,0.80575241903387,0.3777096771784038
Tabular-MLP,1,0,False,0.5906298063963163,-10.0,0.0265288027068685,0.0699092663655739,0.0971427896566399,0.8034158480707552,3.08,form_a,2.4445781941403766,0.14695437143507947,0.14695437143488213,-0.547521019590605,-2.816776930200653,0.8328440574925566,0.4919025244351513
Tabular-MLP,1,1,False,0.5906195391410397,1.6666666666666714,0.2359053979266678,0.042935722876798,0.0797677734743542,-0.0,1.5,form_a,2.4445781941403766,0.14695437143507947,0.14695437143488213,-0.3423421140486775,-1.5512920584861511,1.3752933009507358,0.8122750955912827
Tabular-MLP,1,2,False,0.5906185203360678,11.666666666666671,0.0088558977174769,0.0585832455762763,0.1845222142800746,0.9728063221185004,1.48,form_a,2.4445781941403766,0.14695437143507947,0.14695437143488213,-0.5681619933487343,-2.9440845594102796,0.7918626415567075,0.46768874166563257
Tabular-MLP,2,0,False,0.5906720019513014,-31.666666666666664,0.0265288027068685,0.1269013092059119,0.0433302641222912,0.8034158480707552,3.08,form_a,2.4445781941403766,0.14695437143507947,0.14695437143488213,-0.5340479086640253,-2.733678631145569,0.8454591478731045,0.49938904744224805
Tabular-MLP,2,1,False,0.5906169193639275,0.0,0.2359053979266678,0.0703077019966295,0.824357266817714,-0.0,1.5,form_a,2.4445781941403766,0.14695437143507947,0.14695437143488213,-0.3356165335851054,-1.5098105996214146,1.373284867778586,0.8110852780164869
Tabular-MLP,2,2,False,0.5906202044849593,1.6666666666666643,0.0088558977174769,0.065977543949851,0.8493499476932247,0.9728063221185004,1.48,form_a,2.4445781941403766,0.14695437143507947,0.14695437143488213,-0.566354909213745,-2.932938980732471,0.7812559843483096,0.4614255692308968
Tabular-MLP,3,0,False,0.5907751748009296,-16.66666666666667,0.0265288027068685,0.1631922774938858,0.0249994203458465,0.8034158480707552,3.08,form_a,2.4445781941403766,0.14695437143507947,0.14695437143488213,-0.5258192225989773,-2.6829264463539495,0.8512103795900348,0.5028739607946684
Tabular-MLP,3,1,False,0.5906070434290013,0.0,0.2359053979266678,0.0942129341233371,1.2537129521428665,-0.0,1.5,form_a,2.4445781941403766,0.14695437143507947,0.14695437143488213,-0.3298820052480429,-1.4744416671387928,1.3742221783102255,0.8116252977463642
Tabular-MLP,3,2,False,0.5906238639033135,0.0,0.0088558977174769,0.073965757170381,0.6580605130498832,0.9728063221185004,1.48,form_a,2.4445781941403766,0.14695437143507947,0.14695437143488213,-0.5644167109087864,-2.920984727312367,0.7745674420997397,0.4574780155066543
Tabular-MLP,4,0,False,0.5911173189746864,-6.666666666666664,0.0265288027068685,0.2165728607831702,0.0172310562694441,0.8034158480707552,3.08,form_a,2.4445781941403766,0.14695437143507947,0.14695437143488213,-0.514170699059402,-2.61108168103459,0.8585830959559415,0.5075233377984621
Tabular-MLP,4,1,False,0.5905868143871531,0.0,0.2359053979266678,0.1291969636894284,1.4590240474412892,-0.0,1.5,form_a,2.4445781941403766,0.14695437143507947,0.14695437143488213,-0.32171176268092583,-1.4240499451456579,1.3743887788802276,0.8116958906483229
Tabular-MLP,4,2,False,0.5906395001107368,0.0,0.0088558977174769,0.0911432836499393,0.4763610100867539,0.9728063221185004,1.48,form_a,2.4445781941403766,0.14695437143507947,0.14695437143488213,-0.5602972652717076,-2.895577163509429,0.7670281251638307,0.45303710841764067
Tabular-MLP,5,0,False,0.5920093228641,-1.6666666666666714,0.0265288027068685,0.255875810211862,0.0152588104898887,0.8034158480707552,3.08,form_a,2.4445781941403766,0.14695437143507947,0.14695437143488213,-0.5059163419495399,-2.560171164572531,0.8632293567453666,0.5110398269632371
Tabular-MLP,5,1,False,0.5905328077634371,0.0,0.2359053979266678,0.1591305983847852,1.5498194129691392,-0.0,1.5,form_a,2.4445781941403766,0.14695437143507947,0.14695437143488213,-0.3149194941700114,-1.382157173457057,1.3768962511900138,0.8131024092141896
Tabular-MLP,5,2,False,0.5906988503790025,0.0,0.0088558977174769,0.1004865952193621,0.3221772884455283,0.9728063221185004,1.48,form_a,2.4445781941403766,0.14695437143507947,0.14695437143488213,-0.5580837370665581,-2.8819247539240895,0.7598743920646198,0.44885692982501435
Audio-1DCNN,1,0,False,0.2420658817482718,0.1703236148682498,0.1134415053216052,6.008882796416962,0.2679077411792918,0.8710567809759735,900.6857142857143,form_a,2.4445781941403766,0.14695437143507947,0.14695437143488213,0.0283620841754956,0.7351055294855914,1.0240895450726515,0.2478971387171979
Audio-1DCNN,1,1,False,0.2402446133804396,0.3206091573990584,0.1020702124002403,6.091430012164133,0.3164359292962228,0.8827457679852295,1387.5,form_a,2.4445781941403766,0.14695437143507947,0.14695437143488213,0.01989842767397852,0.6829041141706564,1.003118752247563,0.24099387680838477
Audio-1DCNN,1,2,False,0.2419665179301559,0.2805330127241761,0.093996279682031,5.972511094977178,0.4438388207296364,0.8805578213675539,257.1666666666667,form_a,2.4445781941403766,0.14695437143507947,0.14695437143488213,0.007340352736689167,0.6054494956804081,0.9727917026797854,0.23538302096877517
Audio-1DCNN,2,0,False,0.2399903498143105,0.1703236148682498,0.1134415053216052,9.508440900785198,0.2051582378286786,0.8710567809759735,900.6857142857143,form_a,2.4445781941403766,0.14695437143507947,0.14695437143488213,0.13350363755523614,1.383588592786829,1.073135719284333,0.2575422166692788
Audio-1DCNN,2,1,False,0.2383947675811526,0.0601142170123236,0.1020702124002403,8.663497713181378,0.4207165643954483,0.8827457679852295,1387.5,form_a,2.4445781941403766,0.14695437143507947,0.14695437143488213,0.1002391025476761,1.1784224442224847,0.9893245757090269,0.23584980228847588
Audio-1DCNN,2,2,False,0.2410697654764653,0.380723374411382,0.093996279682031,8.162339744169453,0.7684749291117289,0.8805578213675539,257.1666666666667,form_a,2.4445781941403766,0.14695437143507947,0.14695437143488213,0.0782462063057427,1.0427765433641913,0.9375397050066402,0.2260124768108252
Audio-1DCNN,3,0,False,0.2505960395694611,0.1803426510369701,0.1134415053216052,11.895489522518067,0.1203554043812368,0.8710567809759735,900.6857142857143,form_a,2.4445781941403766,0.14695437143507947,0.14695437143488213,0.18664516711575688,1.711350365084936,1.1348331128539626,0.2843846836534863
Audio-1DCNN,3,1,False,0.2409103458140852,-0.1402665063620878,0.1020702124002403,9.050634265486496,0.5258255950281993,0.8827457679852295,1387.5,form_a,2.4445781941403766,0.14695437143507947,0.14695437143488213,0.11043654267282225,1.2413173416024197,0.9419412830856375,0.22692340024472407
Audio-1DCNN,3,2,False,0.2421280853405811,0.2705139765554554,0.093996279682031,9.04900690431433,0.867908154247333,0.8805578213675539,257.1666666666667,form_a,2.4445781941403766,0.14695437143507947,0.14695437143488213,0.10222681917230031,1.1906821124913718,0.9232256040603997,0.223538847848546
Audio-1DCNN,4,0,False,0.2376467519562139,0.1803426510369701,0.1134415053216052,12.373370687079191,0.1495564282231264,0.8710567809759735,900.6857142857143,form_a,2.4445781941403766,0.14695437143507947,0.14695437143488213,0.19609176459742397,1.769614279548517,1.0979403311716647,0.26092195354467596
Audio-1DCNN,4,1,False,0.2394707588800158,0.0701332531810439,0.1020702124002403,10.804017434380132,0.447064537938192,0.8827457679852295,1387.5,form_a,2.4445781941403766,0.14695437143507947,0.14695437143488213,0.15218266841947647,1.4987955187354327,0.9861929827845235,0.2361643819895562
Audio-1DCNN,4,2,False,0.2422508646903116,0.1102093978559262,0.093996279682031,9.840924145613863,0.9117436806584313,0.8805578213675539,257.1666666666667,form_a,2.4445781941403766,0.14695437143507947,0.14695437143488213,0.12191927013459042,1.3121395240802323,0.9158666860438119,0.2218694966351636
Audio-1DCNN,5,0,False,0.2486775835209456,0.1703236148682498,0.1134415053216052,15.058795082602767,0.1946361145656466,0.8710567809759735,900.6857142857143,form_a,2.4445781941403766,0.14695437143507947,0.14695437143488213,0.24359782849972664,2.062618109665846,1.0910562789859366,0.27132123894357735
Audio-1DCNN,5,1,False,0.2387888885976516,0.0601142170123236,0.1020702124002403,14.062600912567968,0.3840806466968025,0.8827457679852295,1387.5,form_a,2.4445781941403766,0.14695437143507947,0.14695437143488213,0.21546871088970915,1.8891257484694801,1.01855246029105,0.2432190099713035
Audio-1DCNN,5,2,False,0.2404146810248828,0.1502855425308089,0.093996279682031,11.575866576967382,0.8516094680310337,0.8805578213675539,257.1666666666667,form_a,2.4445781941403766,0.14695437143507947,0.14695437143488213,0.16045850211227916,1.549838496625413,0.8903912607230132,0.21406313093406648
CIFAR-CNN,1,0,False,0.396799060799098,2.4499999999999997,0.0580468695814876,29.7222089692032,0.0642635393826736,0.9024849063615884,14.881028938906752,form_b,4.9999999999954525,0.14695437143507947,0.09486930438733199,0.0012462536493909116,0.5678628335362863,0.8703215597715114,0.34534277751054177
