Experiment,Round,Client,rank,demand,stable_rank,residual_ratio,tail_mass,ema_demand,target_rank,direction,streak,changed,max_rank,gamma
Tabular-MLP,4,0,2,1.0260407000763037,1.0260407000763037,,,1.1364085190265736,2,0,0,False,4,0.5
Tabular-MLP,4,1,2,1.0155624136416908,1.0155624136416908,,,1.1806209677372166,2,0,0,False,8,0.5
Tabular-MLP,4,2,2,1.024112037536336,1.024112037536336,,,1.1921646064812887,8,0,0,False,16,0.5
Tabular-MLP,5,0,2,1.0236011632260031,1.0236011632260031,,,1.1025663122864025,2,0,0,False,4,0.5
Tabular-MLP,5,1,2,1.0233227399706117,1.0233227399706117,,,1.1334314994072352,2,0,0,False,8,0.5
Tabular-MLP,5,2,2,1.0357097843201766,1.0357097843201766,,,1.1452281598329552,8,0,0,False,16,0.5
Audio-1DCNN,1,0,2,1.0,1.0,,,1.0,2,0,0,False,4,0.5
Audio-1DCNN,1,1,2,1.0,1.0,,,1.0,2,0,0,False,8,0.5
Audio-1DCNN,1,2,2,1.0,1.0,,,1.0,8,0,0,False,16,0.5
Audio-1DCNN,2,0,2,1.0,1.0,,,1.0,2,0,0,False,4,0.5
Audio-1DCNN,2,1,2,1.0,1.0,,,1.0,2,0,0,False,8,0.5
Audio-1DCNN,2,2,2,1.0,1.0,,,1.0,8,0,0,False,16,0.5
Audio-1DCNN,3,0,2,1.0,1.0,,,1.0,2,0,0,False,4,0.5
Audio-1DCNN,3,1,2,1.0,1.0,,,1.0,2,0,0,False,8,0.5
Audio-1DCNN,3,2,2,1.0,1.0,,,1.0,8,0,0,False,16,0.5
Audio-1DCNN,4,0,2,1.0,1.0,,,1.0,2,0,0,False,4,0.5
Audio-1DCNN,4,1,2,1.0,1.0,,,1.0,2,0,0,False,8,0.5
Audio-1DCNN,4,2,2,1.0,1.0,,,1.0,8,0,0,False,16,0.5
Audio-1DCNN,5,0,2,1.0,1.0,,,1.0,2,0,0,False,4,0.5
Audio-1DCNN,5,1,2,1.0,1.0,,,1.0,2,0,0,False,8,0.5
Audio-1DCNN,5,2,2,1.0,1.0,,,1.0,8,0,0,False,16,0.5
