context_id,variant_id,label,round,domain_id,metric,n,mean,sample_std,min,max
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,12,0,accuracy,3,0.2155,0.07988116173416607,0.1405,0.2995
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,12,1,accuracy,3,0.3165,0.1308166656049603,0.2205,0.4655
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,12,2,accuracy,3,0.3095,0.05064829710858993,0.252,0.3475
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,12,3,accuracy,3,0.157,0.04292726406376255,0.1075,0.184
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,12,4,accuracy,3,0.20216666666666666,0.012711543310445559,0.191,0.216
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,13,0,accuracy,3,0.22316666666666668,0.08344209569116379,0.152,0.315
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,13,1,accuracy,3,0.32866666666666666,0.11102739902084231,0.2445,0.4545
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,13,2,accuracy,3,0.3173333333333333,0.054959833818283434,0.254,0.3525
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,13,3,accuracy,3,0.16533333333333333,0.038785736209763166,0.121,0.193
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,13,4,accuracy,3,0.20383333333333334,0.015462319791458632,0.191,0.221
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,14,0,accuracy,3,0.22533333333333333,0.06311563461879577,0.1665,0.292
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,14,1,accuracy,3,0.33899999999999997,0.13665924776611352,0.238,0.4945
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,14,2,accuracy,3,0.316,0.060230806071312044,0.2505,0.369
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,14,3,accuracy,3,0.158,0.05220153254455275,0.098,0.193
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,14,4,accuracy,3,0.20916666666666667,0.015986973864159953,0.195,0.2265
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,15,0,accuracy,3,0.239,0.06996248994997248,0.1755,0.314
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,15,1,accuracy,3,0.325,0.09570397065952906,0.2685,0.4355
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,15,2,accuracy,3,0.3343333333333333,0.0551958633715728,0.2715,0.375
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,15,3,accuracy,3,0.17233333333333334,0.030088757590391365,0.141,0.201
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,15,4,accuracy,3,0.2145,0.019215878850575636,0.1925,0.228
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,16,0,accuracy,3,0.2315,0.08436083214383319,0.152,0.32
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,16,1,accuracy,3,0.3525,0.1115358686701278,0.273,0.48
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,16,2,accuracy,3,0.3148333333333333,0.06728731926101182,0.2375,0.36
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,16,3,accuracy,3,0.16483333333333333,0.04243917215655052,0.1165,0.196
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,16,4,accuracy,3,0.214,0.0075663729752107846,0.208,0.2225
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,17,0,accuracy,3,0.237,0.07750483855863452,0.16,0.315
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,17,1,accuracy,3,0.32216666666666666,0.10745502935336873,0.2535,0.446
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,17,2,accuracy,3,0.323,0.0478852795752515,0.272,0.367
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,17,3,accuracy,3,0.175,0.050714889332423865,0.117,0.211
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,17,4,accuracy,3,0.22783333333333333,0.014074208089030562,0.213,0.241
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,18,0,accuracy,3,0.22633333333333333,0.06150067750304326,0.165,0.288
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,18,1,accuracy,3,0.3428333333333333,0.10931186272922683,0.2765,0.469
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,18,2,accuracy,3,0.319,0.06600568157363425,0.248,0.3785
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,18,3,accuracy,3,0.16916666666666666,0.04539364860124523,0.126,0.2165
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,18,4,accuracy,3,0.23166666666666666,0.004536885862938727,0.2265,0.235
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,19,0,accuracy,3,0.2415,0.08100462949733182,0.161,0.323
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,19,1,accuracy,3,0.3453333333333333,0.10905541404869971,0.2755,0.471
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,19,2,accuracy,3,0.3345,0.049540387564087525,0.278,0.3705
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,19,3,accuracy,3,0.181,0.03858756276314948,0.144,0.221
