context_id,variant_id,label,round,metric,n,mean,sample_std,min,max
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,3,operational_messages,3,30.0,0.0,30.0,30.0
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,3,operational_floats,3,293760.0,0.0,293760.0,293760.0
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,3,wall_seconds,3,0.6662666412691275,0.03492814154400955,0.6407885607331991,0.7060819743201137
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,3,cumulative_effective_floats,3,881280.0,0.0,881280.0,881280.0
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,3,cumulative_operational_floats,3,881280.0,0.0,881280.0,881280.0
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,4,personalized_accuracy,3,0.14282443362903133,0.023744570044654783,0.1284291788039914,0.1702306504405455
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,4,personalized_sample_weighted_accuracy,3,0.14279999999999998,0.02373941869549463,0.1284,0.1702
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,4,consensus_accuracy,3,0.022600000000000002,0.002861817604250837,0.0193,0.0244
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,4,accuracy_gap,3,0.14200000000000002,0.07550496672405067,0.06600000000000002,0.217
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,4,worst_domain_accuracy,3,0.081,0.03431836243179444,0.0415,0.1035
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,4,consensus_distance,3,6.539046223958334,0.2699159100550934,6.34354248046875,6.847008260091146
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,4,mean_train_loss,3,2.277213324268468,0.06416430753741074,2.2033466039256107,2.3191305665711313
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,4,mean_tail_mass,3,0.0017097789502075285,0.0004499497853020013,0.0011915548000667783,0.002001102932261037
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,4,max_tail_mass,3,0.007983262800544965,0.00159654048168397,0.0061845245130593696,0.0092324132180943
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,4,mean_residual_energy,3,0.11295876381312459,0.04512388797784379,0.06169495061427976,0.14666416770135887
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,4,mean_merge_error_energy,0,,,,
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,4,mean_relative_merge_error,0,,,,
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,4,effective_messages,3,30.0,0.0,30.0,30.0
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,4,effective_floats,3,293760.0,0.0,293760.0,293760.0
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,4,operational_messages,3,30.0,0.0,30.0,30.0
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,4,operational_floats,3,293760.0,0.0,293760.0,293760.0
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,4,wall_seconds,3,0.6537174452096224,0.03485924278832872,0.6135371858254075,0.6758876889944077
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,4,cumulative_effective_floats,3,1175040.0,0.0,1175040.0,1175040.0
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,4,cumulative_operational_floats,3,1175040.0,0.0,1175040.0,1175040.0
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,5,personalized_accuracy,3,0.16742844793819306,0.02378544633410084,0.14822888855872363,0.19403646525085808
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,5,personalized_sample_weighted_accuracy,3,0.1674,0.023779823380336535,0.1482,0.194
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,5,consensus_accuracy,3,0.026166666666666668,0.0024006943440041113,0.0238,0.0286
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,5,accuracy_gap,3,0.1816666666666667,0.09470524448695192,0.112,0.28950000000000004
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,5,worst_domain_accuracy,3,0.0915,0.039468341743731775,0.046,0.1165
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,5,consensus_distance,3,9.098822699652779,0.417153792126456,8.74180908203125,9.557371012369792
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,5,mean_train_loss,3,2.069459980012607,0.059232025142045716,2.0018234329313374,2.1120763173527575
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,5,mean_tail_mass,3,0.002862102419277592,0.0004937768484903071,0.002292784778518069,0.0031736618724571178
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,5,max_tail_mass,3,0.013220896837437142,0.0015439721953442302,0.011648004593318498,0.014734225089755314
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,5,mean_residual_energy,3,0.27006411128228747,0.08428761275975001,0.1735200467868708,0.32900546275692855
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,5,mean_merge_error_energy,0,,,,
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,5,mean_relative_merge_error,0,,,,
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,5,effective_messages,3,30.0,0.0,30.0,30.0
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,5,effective_floats,3,293760.0,0.0,293760.0,293760.0
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,5,operational_messages,3,30.0,0.0,30.0,30.0
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,5,operational_floats,3,293760.0,0.0,293760.0,293760.0
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,5,wall_seconds,3,0.6775176338851452,0.05948031990323016,0.6373125957325101,0.7458443650975823
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,5,cumulative_effective_floats,3,1468800.0,0.0,1468800.0,1468800.0
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,5,cumulative_operational_floats,3,1468800.0,0.0,1468800.0,1468800.0
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,6,personalized_accuracy,3,0.1848330589460025,0.022209408877473906,0.16653204929066998,0.2095419257338298
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,6,personalized_sample_weighted_accuracy,3,0.1848,0.022202927734873156,0.1665,0.2095
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,6,consensus_accuracy,3,0.032933333333333335,0.0024583192089989744,0.031,0.0357
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,6,accuracy_gap,3,0.2115,0.09575881160499017,0.1325,0.318
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,6,worst_domain_accuracy,3,0.09883333333333333,0.047077949544700154,0.0445,0.1275
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,6,consensus_distance,3,11.96046651204427,0.8541533699499297,11.413033040364583,12.944686889648438
b729ad24b6b0,076ae68a5277,MH / ΔW / feedback / ring,6,mean_train_loss,3,1.9162706036452215,0.06803904744945666,1.8427254282402452,1.9769731382514926
