context_id,left_variant_id,right_variant_id,left_label,right_label,metric,n,mean,sample_std,min,max
b729ad24b6b0,076ae68a5277,8fbe5acc92e3,MH / ΔW / feedback / ring,Oracle / ΔW / feedback / bridge 5,consensus_distance,3,-74.27988823784722,16.84115024137231,-91.52672526041665,-57.87609049479167
b729ad24b6b0,076ae68a5277,8fbe5acc92e3,MH / ΔW / feedback / ring,Oracle / ΔW / feedback / bridge 5,total_effective_messages,3,1800.0,0.0,1800.0,1800.0
b729ad24b6b0,076ae68a5277,8fbe5acc92e3,MH / ΔW / feedback / ring,Oracle / ΔW / feedback / bridge 5,total_effective_floats,3,17625600.0,0.0,17625600.0,17625600.0
b729ad24b6b0,076ae68a5277,8fbe5acc92e3,MH / ΔW / feedback / ring,Oracle / ΔW / feedback / bridge 5,total_operational_messages,3,500.0,0.0,500.0,500.0
b729ad24b6b0,076ae68a5277,8fbe5acc92e3,MH / ΔW / feedback / ring,Oracle / ΔW / feedback / bridge 5,total_operational_floats,3,25600000.0,0.0,25600000.0,25600000.0
b729ad24b6b0,076ae68a5277,8fbe5acc92e3,MH / ΔW / feedback / ring,Oracle / ΔW / feedback / bridge 5,wall_seconds,3,-0.8727400489151478,1.0700485696160837,-2.0675734085962176,-0.002772688865661621
b729ad24b6b0,076ae68a5277,cad564bfe53c,MH / ΔW / feedback / ring,MH / ΔW / ring,personalized_accuracy,3,0.018231574903239022,0.011796481113228905,0.009553931742837252,0.031663297480388874
b729ad24b6b0,076ae68a5277,cad564bfe53c,MH / ΔW / feedback / ring,MH / ΔW / ring,personalized_sample_weighted_accuracy,3,0.01826666666666667,0.011795903243640708,0.009599999999999997,0.031700000000000006
b729ad24b6b0,076ae68a5277,cad564bfe53c,MH / ΔW / feedback / ring,MH / ΔW / ring,consensus_accuracy,3,-0.037899999999999996,0.013604043516543157,-0.053599999999999995,-0.0296
b729ad24b6b0,076ae68a5277,cad564bfe53c,MH / ΔW / feedback / ring,MH / ΔW / ring,accuracy_gap,3,0.03216666666666668,0.03440324597088674,-0.007000000000000006,0.05750000000000005
b729ad24b6b0,076ae68a5277,cad564bfe53c,MH / ΔW / feedback / ring,MH / ΔW / ring,worst_domain_accuracy,3,0.001666666666666668,0.022783400390050085,-0.02400000000000002,0.019500000000000017
b729ad24b6b0,076ae68a5277,cad564bfe53c,MH / ΔW / feedback / ring,MH / ΔW / ring,consensus_distance,3,47.23071560329862,58.154517138047666,-15.709578450520823,98.96998697916668
b729ad24b6b0,076ae68a5277,cad564bfe53c,MH / ΔW / feedback / ring,MH / ΔW / ring,total_effective_messages,3,0.0,0.0,0.0,0.0
b729ad24b6b0,076ae68a5277,cad564bfe53c,MH / ΔW / feedback / ring,MH / ΔW / ring,total_effective_floats,3,0.0,0.0,0.0,0.0
b729ad24b6b0,076ae68a5277,cad564bfe53c,MH / ΔW / feedback / ring,MH / ΔW / ring,total_operational_messages,3,0.0,0.0,0.0,0.0
b729ad24b6b0,076ae68a5277,cad564bfe53c,MH / ΔW / feedback / ring,MH / ΔW / ring,total_operational_floats,3,0.0,0.0,0.0,0.0
b729ad24b6b0,076ae68a5277,cad564bfe53c,MH / ΔW / feedback / ring,MH / ΔW / ring,wall_seconds,3,-2.018193168565631,1.5949006766932143,-3.852358954027295,-0.9576352881267667
b729ad24b6b0,076ae68a5277,d6881822b57c,MH / ΔW / feedback / ring,Oracle / factor zero-pad / bridge 5,personalized_accuracy,3,0.04606195400798097,0.005886109605347906,0.03959356658007329,0.051103427265346196
b729ad24b6b0,076ae68a5277,d6881822b57c,MH / ΔW / feedback / ring,Oracle / factor zero-pad / bridge 5,personalized_sample_weighted_accuracy,3,0.046166666666666654,0.005882459802950892,0.03970000000000001,0.05119999999999997
b729ad24b6b0,076ae68a5277,d6881822b57c,MH / ΔW / feedback / ring,Oracle / factor zero-pad / bridge 5,consensus_accuracy,3,-0.024900000000000002,0.02373099239391391,-0.0479,-0.0005000000000000004
b729ad24b6b0,076ae68a5277,d6881822b57c,MH / ΔW / feedback / ring,Oracle / factor zero-pad / bridge 5,accuracy_gap,3,-0.11416666666666665,0.10007164100449903,-0.2075,-0.008500000000000008
b729ad24b6b0,076ae68a5277,d6881822b57c,MH / ΔW / feedback / ring,Oracle / factor zero-pad / bridge 5,worst_domain_accuracy,3,0.07500000000000001,0.05202163011671203,0.015000000000000013,0.10750000000000001
b729ad24b6b0,076ae68a5277,d6881822b57c,MH / ΔW / feedback / ring,Oracle / factor zero-pad / bridge 5,consensus_distance,3,1975.1544623480902,403.4775773530895,1510.374609375,2235.453556315104
b729ad24b6b0,076ae68a5277,d6881822b57c,MH / ΔW / feedback / ring,Oracle / factor zero-pad / bridge 5,total_effective_messages,3,1800.0,0.0,1800.0,1800.0
b729ad24b6b0,076ae68a5277,d6881822b57c,MH / ΔW / feedback / ring,Oracle / factor zero-pad / bridge 5,total_effective_floats,3,17625600.0,0.0,17625600.0,17625600.0
b729ad24b6b0,076ae68a5277,d6881822b57c,MH / ΔW / feedback / ring,Oracle / factor zero-pad / bridge 5,total_operational_messages,3,500.0,0.0,500.0,500.0
b729ad24b6b0,076ae68a5277,d6881822b57c,MH / ΔW / feedback / ring,Oracle / factor zero-pad / bridge 5,total_operational_floats,3,9792000.0,0.0,9792000.0,9792000.0
b729ad24b6b0,076ae68a5277,d6881822b57c,MH / ΔW / feedback / ring,Oracle / factor zero-pad / bridge 5,wall_seconds,3,-5.999134981073439,2.5353692640955465,-8.59329420607537,-3.526959312148392
b729ad24b6b0,0bcde22a1ce1,0eac0e17d3ed,FedAvg / factor zero-pad,FedAvg / ΔW,personalized_accuracy,3,0.010342426384405391,0.008959583166557436,0.00020710365537950082,0.01720746233489861
