seed,method,stage,signature,adjusted_rand_index,normalized_mutual_info,personalized_accuracy,consensus_accuracy
43,mh,5,spectral_baseline,-0.05,0.38981912151098114,0.20079014546780663,0.0278
43,mh,5,row_norms,0.18947368421052632,0.5483295343778992,0.20079014546780663,0.0278
43,mh,5,inverse_delta_l2,0.10256410256410256,0.5184823085958774,0.20079014546780663,0.0278
43,mh,10,spectral_baseline,0.03076923076923077,0.4599281840235277,0.3044822933878406,0.0853
43,mh,10,row_norms,0.18947368421052632,0.5483295343778992,0.3044822933878406,0.0853
43,mh,10,inverse_delta_l2,0.16,0.5300344687863443,0.3044822933878406,0.0853
43,mh,20,spectral_baseline,-0.10212765957446808,0.3019459936317117,0.37669408538973753,0.1437
43,mh,20,row_norms,0.31627906976744186,0.6420198750155357,0.37669408538973753,0.1437
43,mh,20,inverse_delta_l2,0.24615384615384617,0.5910863804798521,0.37669408538973753,0.1437
44,local,2,spectral_baseline,0.13617021276595745,0.49003004688073337,0.09690560125342733,0.0086
44,local,2,row_norms,1.0,1.0,0.09690560125342733,0.0086
44,local,2,inverse_delta_l2,0.16,0.5670833502818187,0.09690560125342733,0.0086
44,local,5,spectral_baseline,0.2146341463414634,0.5731303127541456,0.3150159154656905,0.0429
44,local,5,row_norms,0.4,0.7168345310256453,0.3150159154656905,0.0429
44,local,5,inverse_delta_l2,0.042105263157894736,0.3987045382374095,0.3150159154656905,0.0429
44,local,10,spectral_baseline,0.19574468085106383,0.589839878919713,0.4465120292706499,0.1054
44,local,10,row_norms,0.01791044776119403,0.4248029856637533,0.4465120292706499,0.1054
44,local,10,inverse_delta_l2,0.10149253731343283,0.5194515188145173,0.4465120292706499,0.1054
44,local,20,spectral_baseline,0.07804878048780488,0.4909779398366787,0.5292149720935329,0.1246
44,local,20,row_norms,0.07894736842105263,0.4709346934191691,0.5292149720935329,0.1246
44,local,20,inverse_delta_l2,0.28679245283018867,0.6489962489218543,0.5292149720935329,0.1246
44,mh,2,spectral_baseline,-0.05853658536585366,0.3716955766142949,0.05990428209318765,0.0092
44,mh,2,row_norms,0.17142857142857143,0.5232675991878014,0.05990428209318765,0.0092
44,mh,2,inverse_delta_l2,0.2146341463414634,0.5731303127541456,0.05990428209318765,0.0092
44,mh,5,spectral_baseline,-0.12,0.3243027357474439,0.199624211918065,0.0475
44,mh,5,row_norms,0.06666666666666667,0.4561467834985106,0.199624211918065,0.0475
44,mh,5,inverse_delta_l2,0.20540540540540542,0.5586182383963298,0.199624211918065,0.0475
44,mh,10,spectral_baseline,-0.17894736842105263,0.2933726369717086,0.3079227653440547,0.079
44,mh,10,row_norms,0.07804878048780488,0.4909779398366787,0.3079227653440547,0.079
44,mh,10,inverse_delta_l2,0.06666666666666667,0.4561467834985106,0.3079227653440547,0.079
44,mh,20,spectral_baseline,-0.12,0.3308417651753937,0.3731237984611298,0.0962
44,mh,20,row_norms,0.11578947368421053,0.5263459537328314,0.3731237984611298,0.0962
44,mh,20,inverse_delta_l2,0.10256410256410256,0.4820290724434224,0.3731237984611298,0.0962
