path,comparison_group,status,classification,track,task,arm,seed,primary_metric,n_train,n_validation,n_clients,best_round,best_primary,final_primary,best_accuracy,final_accuracy,best_f1,final_f1,total_steps,total_examples,total_probe_examples,training_bytes,evaluation_assembly_bytes,production_bytes,elapsed_seconds,source_sha256,split_sha256,capacity_scope,warnings,rounds_recorded,checkpoint_verification,checkpoint_verification_kind,checkpoint_verified_endpoints,checkpoint_files_present,error
/home/gogoi/ahlora-quantity-20260917/runs/full-v1-quantity-declora4-seed46,2ec9b556fbc202fe,complete,full_configured_budget,quantity_skew_extension,sst2,declora4,46,accuracy,67349,872,10,19,94.61009174311927,94.26605504587155,94.61009174311927,94.26605504587155,94.80662983425414,94.43207126948775,42200,1350400,0,1185160400,1481439480,1259232694,8363.64325730782,daced6fc0052f4aab6069aea78ce1468bd5c039b76dedb71080155b0276b8d61,cc2a0130357b29e1365b8567c10fba6042744d102f7a789a3c5c33a2accf1945,training ranks within declared heterogeneous caps,[],20,passed,standalone_independent_evaluator,"[""best"",""final""]","{""best"":true,""final"":true}",
/home/gogoi/ahlora-quantity-20260917/runs/full-v1-quantity-fixed_sample-seed42,2ec9b556fbc202fe,complete,full_configured_budget,quantity_skew_extension,sst2,fixed_sample,42,accuracy,67349,872,10,19,94.61009174311927,94.4954128440367,94.61009174311927,94.4954128440367,94.73684210526316,94.61883408071749,42200,1350400,0,1468284720,1811759000,1558872990,8522.329762767069,daced6fc0052f4aab6069aea78ce1468bd5c039b76dedb71080155b0276b8d61,2ed6d053bda628b79e7cd87161183aa80fca526e2072fdd9c41b450047ba198c,training ranks within declared heterogeneous caps,[],20,passed,standalone_independent_evaluator,"[""best"",""final""]","{""best"":true,""final"":true}",
/home/gogoi/ahlora-quantity-20260917/runs/full-v1-quantity-fixed_sample-seed43,2ec9b556fbc202fe,complete,full_configured_budget,quantity_skew_extension,sst2,fixed_sample,43,accuracy,67349,872,10,11,94.38073394495413,94.38073394495413,94.38073394495413,94.38073394495413,94.50056116722783,94.54949944382648,42200,1350400,0,1468284720,1811759000,1558872990,8421.991400088184,daced6fc0052f4aab6069aea78ce1468bd5c039b76dedb71080155b0276b8d61,40f4fa197ac3676c05bff03836c80ab1b7dfd0c9d5778b2888f8d4aa90122eff,training ranks within declared heterogeneous caps,[],20,passed,standalone_independent_evaluator,"[""best"",""final""]","{""best"":true,""final"":true}",
/home/gogoi/ahlora-quantity-20260917/runs/full-v1-quantity-fixed_sample-seed44,2ec9b556fbc202fe,complete,full_configured_budget,quantity_skew_extension,sst2,fixed_sample,44,accuracy,67349,872,10,16,94.38073394495413,94.26605504587155,94.38073394495413,94.26605504587155,94.51287793952967,94.3566591422122,42200,1350400,0,1468284720,1705587800,1553564430,8370.804527646862,daced6fc0052f4aab6069aea78ce1468bd5c039b76dedb71080155b0276b8d61,759c006eaa41cc798fc003c8ea14876c63ff9a639bbdffd0bdda130391fcfcc4,training ranks within declared heterogeneous caps,[],20,passed,standalone_independent_evaluator,"[""best"",""final""]","{""best"":true,""final"":true}",
/home/gogoi/ahlora-quantity-20260917/runs/full-v1-quantity-fixed_sample-seed45,2ec9b556fbc202fe,complete,full_configured_budget,quantity_skew_extension,sst2,fixed_sample,45,accuracy,67349,872,10,9,94.38073394495413,94.03669724770643,94.38073394495413,94.03669724770643,94.52513966480447,94.19642857142857,42200,1350400,0,1468284700,1670195480,1551794794,8431.544792492874,daced6fc0052f4aab6069aea78ce1468bd5c039b76dedb71080155b0276b8d61,75f684163d3981c01b27b7a044e757847c5bc3a7e0aa7de4aec401fb27185e3d,training ranks within declared heterogeneous caps,[],20,passed,standalone_independent_evaluator,"[""best"",""final""]","{""best"":true,""final"":true}",
/home/gogoi/ahlora-quantity-20260917/runs/full-v1-quantity-fixed_sample-seed46,2ec9b556fbc202fe,complete,full_configured_budget,quantity_skew_extension,sst2,fixed_sample,46,accuracy,67349,872,10,19,94.26605504587155,93.92201834862385,94.26605504587155,93.92201834862385,94.41964285714286,94.10456062291435,42200,1350400,0,1468284760,1776366680,1557103414,8387.676656246185,daced6fc0052f4aab6069aea78ce1468bd5c039b76dedb71080155b0276b8d61,cc2a0130357b29e1365b8567c10fba6042744d102f7a789a3c5c33a2accf1945,training ranks within declared heterogeneous caps,[],20,passed,standalone_independent_evaluator,"[""best"",""final""]","{""best"":true,""final"":true}",
/home/gogoi/ahlora-quantity-20260917/runs/full-v1-quantity-fixed_uniform-seed42,2ec9b556fbc202fe,complete,full_configured_budget,quantity_skew_extension,sst2,fixed_uniform,42,accuracy,67349,872,10,6,94.83944954128441,94.72477064220183,94.83944954128441,94.72477064220183,94.97206703910615,94.81981981981981,42200,1350400,0,1468284560,1811751000,1558872430,8263.849142060615,daced6fc0052f4aab6069aea78ce1468bd5c039b76dedb71080155b0276b8d61,2ed6d053bda628b79e7cd87161183aa80fca526e2072fdd9c41b450047ba198c,training ranks within declared heterogeneous caps,[],20,passed,standalone_independent_evaluator,"[""best"",""final""]","{""best"":true,""final"":true}",
/home/gogoi/ahlora-quantity-20260917/runs/full-v1-quantity-fixed_uniform-seed43,2ec9b556fbc202fe,complete,full_configured_budget,quantity_skew_extension,sst2,fixed_uniform,43,accuracy,67349,872,10,20,94.26605504587155,94.26605504587155,94.26605504587155,94.26605504587155,94.44444444444444,94.44444444444444,42200,1350400,0,1468284560,1811751000,1558872430,8488.435028416105,daced6fc0052f4aab6069aea78ce1468bd5c039b76dedb71080155b0276b8d61,40f4fa197ac3676c05bff03836c80ab1b7dfd0c9d5778b2888f8d4aa90122eff,training ranks within declared heterogeneous caps,[],20,passed,standalone_independent_evaluator,"[""best"",""final""]","{""best"":true,""final"":true}",
/home/gogoi/ahlora-quantity-20260917/runs/full-v1-quantity-fixed_uniform-seed44,2ec9b556fbc202fe,complete,full_configured_budget,quantity_skew_extension,sst2,fixed_uniform,44,accuracy,67349,872,10,14,94.4954128440367,93.92201834862385,94.4954128440367,93.92201834862385,94.61883408071749,94.05162738496072,42200,1350400,0,1468284560,1705579800,1553563870,8394.447607585229,daced6fc0052f4aab6069aea78ce1468bd5c039b76dedb71080155b0276b8d61,759c006eaa41cc798fc003c8ea14876c63ff9a639bbdffd0bdda130391fcfcc4,training ranks within declared heterogeneous caps,[],20,passed,standalone_independent_evaluator,"[""best"",""final""]","{""best"":true,""final"":true}",
/home/gogoi/ahlora-quantity-20260917/runs/full-v1-quantity-fixed_uniform-seed45,2ec9b556fbc202fe,complete,full_configured_budget,quantity_skew_extension,sst2,fixed_uniform,45,accuracy,67349,872,10,13,94.72477064220183,94.03669724770643,94.72477064220183,94.03669724770643,94.85458612975391,94.17040358744394,42200,1350400,0,1468284560,1670187480,1551794254,8444.5952267088,daced6fc0052f4aab6069aea78ce1468bd5c039b76dedb71080155b0276b8d61,75f684163d3981c01b27b7a044e757847c5bc3a7e0aa7de4aec401fb27185e3d,training ranks within declared heterogeneous caps,[],20,passed,standalone_independent_evaluator,"[""best"",""final""]","{""best"":true,""final"":true}",
